Time	"Time Code"	"Country Name"	"Country Code"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Agricultural land (% of land area) [AG.LND.AGRI.ZS]"	"Bank capital to assets ratio (%) [FB.BNK.CAPA.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]"	"Gross intake ratio in first grade of primary education, total (% of relevant age group) [SE.PRM.GINT.ZS]"	"School enrollment, primary (gross), gender parity index (GPI) [SE.ENR.PRIM.FM.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"	"Population, total [SP.POP.TOTL]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS]"	"GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]"	"Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.10.TO]"
2015	"YR2015"	"Pacific island small states"	"PSS"	"78.8604709454515"	"13.4376947034"	""	""	"3782.03277671077"	"61.958740396371"	"36.6927102803738"	"69.4444587743698"	"86.27632"	"2.98979"	"23.90217"	"107.851"	"0.98431"	"3.90625126625866"	"2355672"	"5.6772972972973"	"4.64806437646481"	"3.67848460255458"	""
2015	"YR2015"	"Post-demographic dividend"	"PST"	"99.9924512906383"	"33.6079781434648"	""	"84000000"	"40474.3376022512"	"19.2540392198849"	"34.8666124722398"	"80.3948986810846"	"96.22131"	"1.67123"	"14.30129"	"99.79988"	"1.00009"	"6.86902671900649"	"1097025299"	"28.5787059078122"	""	"2.10942802434681"	""
2015	"YR2015"	"Pre-demographic dividend"	"PRE"	"40.2925014283137"	"41.3248069349079"	""	"49000000"	"1585.94226536399"	"60.4061098749883"	"47.5430449453838"	"59.5119589254375"	"75.14642"	"22.66607"	"35.34598"	"111.4569"	"0.94119"	"5.12249382056356"	"845759344"	"21.8424122310306"	"1.47001988431335"	"3.07087705437885"	""
2015	"YR2015"	"Small states"	"SST"	"77.4266787498667"	"34.1790696421522"	""	"2815803"	"11732.1733942695"	"42.6227852308498"	"15.4054879853105"	"68.6140108206917"	"85.93655"	"11.72521"	"22.66048"	"104.4978"	"0.98353"	"10.0424633785457"	"38526753"	"16.9444574551132"	""	"2.57277191558001"	""
2015	"YR2015"	"South Asia"	"SAS"	"84.4928362443796"	"56.666745656148"	""	"165000000"	"1541.83581285704"	"67.2624387081595"	"366.632890589216"	"68.6419006832955"	""	"7.78734"	"32.7214"	"104.5813"	"1.06133"	"2.99206851965442"	"1749417068"	"19.3155455291222"	"2.20586641056591"	"7.48002056896395"	""
2015	"YR2015"	"South Asia (IDA & IBRD)"	"TSA"	"84.4928362443796"	"56.666745656148"	""	"165000000"	"1541.83581285704"	"67.2624387081595"	"366.632890589216"	"68.6419006832955"	""	"7.78734"	"32.7214"	"104.5813"	"1.06133"	"2.99206851965442"	"1749417068"	"19.3155455291222"	"2.20586641056591"	"7.48002056896395"	""
2015	"YR2015"	"Sub-Saharan Africa"	"SSF"	"39.3996950582483"	"43.6794454984828"	""	"58900000"	"1669.44341764139"	"61.4089272637537"	"46.861950891294"	"59.9528305490993"	"77.56615"	"20.04884"	"37.50596"	"114.1359"	"0.95645"	"6.07606963676148"	"995458478"	"23.6409477800782"	"2.11483876946743"	"2.81584391594731"	""
2015	"YR2015"	"Sub-Saharan Africa (excluding high income)"	"SSA"	"39.3940074767563"	"43.6803184215313"	""	"58900000"	"1668.21598248686"	"61.4105048489441"	"46.8585678370848"	"59.9514844675703"	"77.56523"	"20.04984"	"37.50958"	"114.1366"	"0.95645"	"6.07606963676148"	"995365059"	"23.5664742553683"	"2.11483876946743"	"2.81431614517803"	""
2015	"YR2015"	"Sub-Saharan Africa (IDA & IBRD countries)"	"TSS"	"39.3996950582483"	"43.6794454984828"	""	"58900000"	"1669.4434176414"	"61.4089272637537"	"46.861950891294"	"59.9528305490993"	"77.56615"	"20.04884"	"37.50596"	"114.1359"	"0.95645"	"6.07606963676148"	"995458478"	"23.6409477800782"	"2.11483876946743"	"2.8158439159473"	""
2015	"YR2015"	"Upper middle income"	"UMC"	"99.1914667973113"	"35.403618759286"	""	"204000000"	"8032.48945868025"	"36.2134219403396"	"44.4699249261985"	"75.0175270400109"	"96.38323"	"2.99216"	"18.32687"	"98.66924"	"0.99007"	"5.80280243618256"	"2597757681"	"22.3663199804989"	"3.21469561017539"	"3.41195755797234"	""
2015	"YR2015"	"World"	"WLD"	"86.7787067974692"	"37.4218187965165"	""	"583000000"	"10217.6560130209"	"46.0866267951417"	"57.6432647583704"	"71.9478983340412"	"90.30999"	"8.37648"	"23.10596"	"105.4874"	"0.99946"	"5.21666887954495"	"7340548192"	"22.8521658791542"	""	"2.8529393604575"	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Data from database: World Development Indicators	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Last Updated: 10/28/2019	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
