Time	"Time Code"	"Country Name"	"Country Code"	"Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"	"Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]"	"Compulsory education, duration (years) [SE.COM.DURS]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2015	"YR2015"	"Austria"	"AUT"	"1.97"	"691071.3"	"5.45675"	"9.57663"	"10"	"44176.6717431334"	"104.730792682674"	"42.285"	"83879.00390625"	"0.5"	"5.72270011901855"	"81.190243902439"
2015	"YR2015"	"Azerbaijan"	"AZE"	"9.79391"	""	"2.95168"	""	"10"	"5500.32049702735"	"116.731079539702"	"45.286"	"86600"	""	"4.96000003814697"	"72.266"
2015	"YR2015"	"Bahamas, The"	"BHS"	"34.04377"	"25766"	""	"11.79222"	"12"	"31512.8565549457"	"37.3832167832168"	"17.254"	"13880"	""	"12"	"73.088"
2015	"YR2015"	"Bahrain"	"BHR"	"2.41261"	"92454"	"2.66808"	"9.86281"	"9"	"22688.9443998144"	"1763.30455808254"	"11.001"	"778.000030517578"	""	""	"76.762"
2015	"YR2015"	"Bangladesh"	"BGD"	""	"14600000"	""	""	"5"	"1248.45339778371"	"1200.40159791042"	"65.692"	"147630"	""	""	"71.514"
2015	"YR2015"	"Barbados"	"BRB"	"1.19533"	"20554"	""	"17.53754"	"11"	"16066.4718004795"	"663.544186046512"	"68.751"	"430"	""	"11.3500003814697"	"78.801"
2015	"YR2015"	"Belarus"	"BLR"	"0.07445"	"644153"	"4.78752"	"8.36258"	"9"	"5949.10630699748"	"46.751941760932"	"22.819"	"207600"	"0"	"1"	"73.6243902439025"
2015	"YR2015"	"Belgium"	"BEL"	"2.41607"	"1217912"	"6.54091"	"9.42496"	"12"	"40441.0520422361"	"372.33143989432"	"2.124"	"30530"	"0"	"8.48200035095215"	"80.9926829268293"
2015	"YR2015"	"Belize"	"BLZ"	"11.18837"	"37856"	"6.76618"	"16.30319"	"8"	"4883.179011063"	"15.8234546251644"	"54.594"	"22970"	""	"7.57819986343384"	"74.034"
2015	"YR2015"	"Benin"	"BEN"	""	"963787"	"4.35643"	"10.32268"	"6"	"783.963077800944"	"93.7916991841078"	"54.305"	"114760"	"22.4"	""	"60.608"
2015	"YR2015"	"Bermuda"	"BMU"	""	"4040"	"1.6986"	"6.33229"	"13"	""	"1208.12960829329"	"0"	"4290"	""	""	"81.0121951219512"
2015	"YR2015"	"Bhutan"	"BTN"	"15.02018"	"74320"	"7.38966"	"12.14578"	""	"2829.89124506544"	"19.0958367480163"	"61.322"	"38393.9990234375"	""	"2.45000004768372"	"70.419"
2015	"YR2015"	"Bolivia"	"BOL"	"10.76599"	"1153379"	""	"20.84395"	"14"	"3035.97221489277"	"10.0339056586357"	"31.607"	"1098580"	"2.8"	"3.06599998474121"	"70.277"
2015	"YR2015"	"Bosnia and Herzegovina"	"BIH"	""	"278071"	""	"10.14673"	"9"	"4727.27754622207"	"66.97970703125"	"52.827"	"51210"	""	"27.6944999694824"	"76.865"
2015	"YR2015"	"Botswana"	"BWA"	""	""	""	""	""	"6799.87523352768"	"3.74202177403702"	"32.845"	"581730"	"4.3"	""	"67.338"
2015	"YR2015"	"Brazil"	"BRA"	""	"23500000"	"6.24106"	"16.45139"	"14"	"8814.00098681261"	"24.4637884744692"	"14.23"	"8515770"	"1.2"	""	"74.994"
2015	"YR2015"	"British Virgin Islands"	"VGB"	"4.82655"	"2027"	"6.31728"	"8.0757"	"12"	""	"194.346666666667"	"53.417"	"150"	""	""	""
2015	"YR2015"	"Brunei Darussalam"	"BRN"	""	"47249"	""	"8.83654"	"9"	"31164.5620291141"	"78.7299810246679"	"23.337"	"5770"	""	""	"75.318"
2015	"YR2015"	"Bulgaria"	"BGR"	"2.81728"	"501398"	""	""	"11"	"6993.78348267387"	"66.1200350036846"	"26.01"	"111000"	""	"9.14330005645752"	"74.6146341463415"
2015	"YR2015"	"Burkina Faso"	"BFA"	"41.97937"	"965550"	"4.16607"	"25.19571"	"10"	"575.314454176311"	"66.1938011695906"	"72.47"	"274220"	""	""	"59.919"
2015	"YR2015"	"Burundi"	"BDI"	""	"664243"	"6.37054"	"35.79281"	""	"305.549772797441"	"395.639797507788"	"87.922"	"27830"	""	""	"60.123"
2015	"YR2015"	"Cabo Verde"	"CPV"	"11.18148"	"58657"	"5.26691"	"16.40755"	"10"	"3043.01398430098"	"130.209181141439"	"35.7"	"4030"	""	"31.3127002716064"	"72.117"
2015	"YR2015"	"Cambodia"	"KHM"	"13.30809"	""	""	""	""	"1162.90491997151"	"87.9301835486064"	"77.812"	"181040"	""	"0.393099993467331"	"68.637"
2015	"YR2015"	"Cameroon"	"CMR"	"35.40982"	"2108279"	"2.76805"	"19.86712"	"6"	"1326.96927718029"	"49.2868100949842"	"45.422"	"475440"	""	""	"57.583"
2015	"YR2015"	"Canada"	"CAN"	"0.07248"	"2641675"	""	""	"10"	"43495.0543869902"	"3.92619659515413"	"18.741"	"9984670"	""	"6.9064998626709"	"81.9"
2015	"YR2015"	"Cayman Islands"	"CYM"	""	""	""	""	"12"	""	"257.183333333333"	"0"	"263.999996185303"	""	"4.23999977111816"	""
2015	"YR2015"	"Central African Republic"	"CAF"	""	""	""	""	"10"	"380.404293450491"	"7.21238241998138"	"59.723"	"622980"	""	""	"50.881"
2015	"YR2015"	"Chad"	"TCD"	"61.88611"	"513248"	""	"27.45229"	"10"	"775.707523514754"	"11.2063016200762"	"77.485"	"1284000"	""	""	"53.137"
2015	"YR2015"	"Channel Islands"	"CHI"	""	""	""	""	""	""	"835.277809962951"	"69.038"	"197.999992370605"	""	""	"82.429"
2015	"YR2015"	"Chile"	"CHL"	"2.19392"	"1546323"	"4.8737"	"19.44185"	"12"	"13574.1715039612"	"24.1675573408594"	"12.64"	"756096.015625"	"0.8"	""	"79.646"
2015	"YR2015"	"China"	"CHN"	""	"86100000"	""	"13.81544"	"9"	"8033.38804310679"	"146.057642237226"	"44.5"	"9562911.25"	"0.2"	""	"75.928"
2015	"YR2015"	"Colombia"	"COL"	"7.97015"	"4793963"	"4.47039"	"26.47999"	"12"	"6175.87602970259"	"42.8307048219919"	"20.236"	"1141748.984375"	"1.8"	"8.29899978637695"	"76.531"
2015	"YR2015"	"Comoros"	"COM"	""	""	"2.48708"	""	"6"	"1271.05704163196"	"417.74528452598"	"71.53"	"1861.00006103516"	""	""	"63.471"
2015	"YR2015"	"Congo, Dem. Rep."	"COD"	""	"4618895"	"2.17044"	"14.24161"	"6"	"497.316960805998"	"33.6316111245892"	"57.26"	"2344860"	""	""	"59.254"
2015	"YR2015"	"Congo, Rep."	"COG"	""	""	"4.56147"	""	"10"	"1761.32356974061"	"14.219897510981"	"34.457"	"342000"	""	""	"63.097"
2015	"YR2015"	"Costa Rica"	"CRI"	"5.8815"	"460252"	"7.08254"	"13.9521"	"13"	"11299.1361770439"	"94.9432824128476"	"23.138"	"51100"	"0.6"	""	"79.565"
2015	"YR2015"	"Cote d'Ivoire"	"CIV"	""	"1587348"	"4.82988"	""	"10"	"1426.45784543221"	"73.0381855345912"	"50.556"	"322460"	"9.1"	""	"56.065"
2015	"YR2015"	"Croatia"	"HRV"	"1.41326"	"360205"	""	"7.03333"	"8"	"11780.1312419694"	"75.1180128663331"	"43.845"	"56590"	"0.3"	"16.175199508667"	"77.2756097560976"
2015	"YR2015"	"Cuba"	"CUB"	"2.59803"	"825055"	""	"9.03784"	"9"	"7694.0119195241"	"108.871188233032"	"23.104"	"109880"	""	"2.40000009536743"	"78.561"
2015	"YR2015"	"Curacao"	"CUW"	""	""	""	""	"14"	"19951.3279030441"	"355.810810810811"	"10.648"	"444"	""	"11.710000038147"	"78.0756097560976"
2015	"YR2015"	"Cyprus"	"CYP"	"1.86775"	"57161"	"6.3753"	"10.35338"	"10"	"23217.4841507892"	"125.647727272727"	"33.054"	"9250"	"0"	"14.9083995819092"	"80.35"
2015	"YR2015"	"Czech Republic"	"CZE"	"0.21226"	"770437"	"5.78885"	""	"9"	"17715.6168523009"	"136.589288952208"	"26.523"	"78870"	"0"	"5.04640007019043"	"78.5780487804878"
2015	"YR2015"	"Denmark"	"DNK"	"2.14711"	"553263"	""	""	"10"	"53254.8560039631"	"135.353250773994"	"12.474"	"42920"	"0.1"	"6.16830015182495"	"80.7024390243902"
